#t	x1	x2	abserr	h	yscale
0.0000000000e+00	1.0000000000e+00	1.0000000000e+00	0.0000000000e+00	1.0000000000e-03	1.0000000000e+00
1.0000000000e-03	1.0001098835e+00	9.9788988284e-01	2.3244672634e-18	3.0280357487e-02	1.0021111111e+00
3.1280357487e-02	1.0022973032e+00	9.3493966237e-01	5.9385879716e-11	3.0623381445e-02	1.0639748845e+00
6.1903738932e-02	1.0023529740e+00	8.7314853853e-01	6.1533793353e-11	3.0757107099e-02	1.0650324644e+00
9.2660846031e-02	1.0003552779e+00	8.1299646521e-01	6.1498520200e-11	3.0885851334e-02	1.0634634724e+00
1.2354669736e-01	9.9640587084e-01	7.5452688858e-01	6.1327112495e-11	3.1011014207e-02	1.0597951707e+00
1.5455771157e-01	9.9060677292e-01	6.9777524201e-01	6.1035495072e-11	3.1133032558e-02	1.0541373556e+00
1.8569074413e-01	9.8305990568e-01	6.4277112415e-01	6.0630226375e-11	3.1252306428e-02	1.0465979577e+00
2.1694305056e-01	9.7386671151e-01	5.8953858275e-01	6.0117795324e-11	3.1369208035e-02	1.0372845296e+00
2.4831225859e-01	9.6312781414e-01	5.3809638468e-01	5.9504638072e-11	3.1484086306e-02	1.0263038783e+00
2.7979634490e-01	9.5094271630e-01	4.8845828005e-01	5.8797116455e-11	3.1597271120e-02	1.0137617307e+00
3.1139361602e-01	9.3740953066e-01	4.4063326055e-01	5.8001501369e-11	3.1709077109e-02	9.9976243703e-01
3.4310269313e-01	9.2262474098e-01	3.9462581228e-01	5.7123957102e-11	3.1819807197e-02	9.8440870590e-01
3.7492250033e-01	9.0668299052e-01	3.5043616328e-01	5.6170529231e-11	3.1929755775e-02	9.6780137088e-01
4.0685225610e-01	8.8967689527e-01	3.0806052591e-01	5.5147132409e-11	3.2039211753e-02	9.5003918325e-01
4.3889146785e-01	8.7169687996e-01	2.6749133426e-01	5.4059539405e-11	3.2148461578e-02	9.3121862996e-01
4.7103992943e-01	8.5283103474e-01	2.2871747631e-01	5.2913371572e-11	3.2257792293e-02	9.1143377446e-01
5.0329772173e-01	8.3316499080e-01	1.9172452090e-01	5.1714089994e-11	3.2367494752e-02	8.9077611823e-01
5.3566521648e-01	8.1278181328e-01	1.5649493931e-01	5.0466992169e-11	3.2477866519e-02	8.6933448153e-01
5.6814308300e-01	7.9176191020e-01	1.2300832201e-01	4.9177202860e-11	3.2589215346e-02	8.4719490085e-01
